,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,lilusosi,,,1683,2035,31822,8307,Russia cancels $20 billion of African debt accumulated since Soviet times. https://t.co/z5e5eSYD1g,[]
1,RichardMoon100,,,596,92,826,0,"@ZelenskyyUa Anytime I see some good Ukrainian boys and girls getting conscripted to war, it bleeds me heart. Mr. Zelensky, make peace with Russia and save lives or else, Russia will annex Ukraine and the international community will not do anything about it.",[]
2,DJFlatWhite,"Reason, Capitalism & Rational Self-interest. #Bitcoin",Earth,542,600,16674,0,"@WatcherGuru Have to be a special kind of stupid to accept this at face value. South Africa is experiencing negative GDP growth. Small GDP too. China and Russia who are also experiencing negative growth, are infamous for fibbing their figures. This is a group of shithole countries.",[]
3,Everescenz,,,61,26,3615,0,"@ivan_8848 Yeah it’s strange how not one of those countries did US ever claim it was part of America? Those countries still exist today, they have Their own language and identity and currency. Russia invades it Genocides.",[]
4,NicklasOberg,bäst,,31,5,339,0,@CharlesMichel @ZelenskyyUa @sandumaiamd hope russia wins the war so we can save some monye the the europen peopel . and not giv the mony to the corupt politicans in those contrys,[]
5,aka_u,The only truly open and free research university on the internet! Achieve your dreams. Explore your mind & the world.,Cyberspace,922,87,1207,0,"#Russia began in #Ukraine with #SaintVladimir of the tribe #Rus a #Norse tribe (not #German ). 
@dominictsz @iamkamyabuch @TomFitton
@elonmusk @DineshDSouza @ShekharGupta @LionelMedia @BradBlank_
@zlj517 @zzxang86 https://t.co/LJhd7scU8A https://t.co/Fu7UBZk2hd","['Russia', 'Ukraine', 'SaintVladimir', 'Rus', 'Norse', 'German']"
6,ValerieRooney1,Grievance chimp. 🇪🇺🦄,The Scottish Territories,1549,2034,235534,986,"Breaking News: A trove of leaked Pentagon documents reveals how deeply Russia’s security and intelligence services have been penetrated by the U.S., demonstrating Washington’s ability to warn Ukraine about strikes and assess Moscow’s war machine. https://t.co/1okhyggQkK",[]
7,jengrimes8,"No DM's please, It may take a minute to follow you back because I vett first. I'm also on Mastodon @JenGrimes@newsie.social! (in case Twitter implodes!)",,23471,26099,605271,155,"Twitter has stopped applying restrictions against the accounts of #Putin and agencies of the #Russian Federation which were installed in April 2022
According to former Twitter executives, such changes could not have been accidental
#Russia #Ukraine #RussiaUkraineWar
Telegraph https://t.co/ys54gCLhog","['Putin', 'Russian']"
8,Arnhem77,Dad. Scottish and British. Love Scotland too much to be a nationalist. Wake up Scotland and stop the independence grift.,Britain,2293,1724,28883,0,"@tdxp29sr9g @visegrad24 Yeah, that’s how things work. Without weapons Russia would be throwing stones. Fucking idiot.",[]
9,JandeGoei,Adviwater | zzp'er | water & klimaat | waterveiligheid | motto: Waterveiligheid met visie,Amersfoort,362,852,177118,6,"📢 https://t.co/hKJYsmXjxb russia #Ukraine
https://t.co/yieNPhOLhT 🇺🇦 Donate to #Ukraine so #russia lose https://t.co/gyZmNIVkAp","['Ukraine', 'Ukraine', 'russia']"
10,ragnarhannes,1984 is not a manual,"Reykjavik, Iceland",2153,270,11698,78,"561 Ukrainian children were taken from Kharkiv region to Russia, - Oleksandr Filchakov

 According to the head of the regional prosecutor's office, 218 children of Ukraine have already returned to their homeland.  Another 118 are in Russia with relatives, while the whereabouts of… https://t.co/P9qyPET9jC https://t.co/8CSYWtNbID",[]
11,osamanews3,,,184,38,4061,0,"Russia Ukraine conflict: Massive Russian convoy advances on Kyiv
#Russia #Ukraine #America #China #TrumpIndictment https://t.co/rarUuck1aL","['Russia', 'Ukraine', 'America', 'China', 'TrumpIndictment']"
12,FedUpInAlberta1,,,16,3,409,0,"There’s a reason why @JustinTrudeau is giving all our equipment to the Ukraine. If we don’t have it, we can’t participate if Russia forces an article 5. Plus he hates the CF @CanadianArmedF as much as his father did. But it didn’t stop him from exploiting the CF when he wanted.",[]
13,svr_general,https://t.co/VfeCuClw4t,,1,743,208,0,"Saturday 04/08/2023, in the morning report to the President of Russia Vladimir Putin, the irretrievable military operational loss of manpower of the personnel of the RF Armed Forces is 179,016 people.  Data as of 6:00 Moscow time today👉https://t.co/yocusRcJup",[]
14,f4f62,the hun in the sun,,128,160,41124,336,"Saudi Arabia is importing huge amounts of diesel from Russia, despite producing more than enough of its own, and reportedly sending much of it to Europe, per Bloomberg.",[]
15,EMMANUELBONOKO,Multi Award Winning Entrepreneur. Founder of Brandscapers Africa and EBonoko Foundation. Brand Building Enthusiast. Showcasing the possibilities of Grace.,AFRICA,4267,13089,18213,482,"Things that they use to keep you distracted:

- Thabo Bester
- Guptas
- Russia/Ukraine
- Gold Mafia
- Tiktok challenges

Things you should be focused on:

- Gyming
- Increasing your income
- Healing &amp; building your family
- Planting fruit &amp; vegetables
- Volunteering in your hood",[]
16,Francesca_Carlt,🎶Ne me demandez pas encore et encore.  Tu sais quelle est ma force ? C'est que je suis ‘귀여운 거야’🎵,Hotel TASADAY,350,145,143990,0,"Ursula von der Leyen warns China not to send arms to Russia 
https://t.co/9FDOsoQn5R",[]
17,BCarlick,"I'm 25, a fencer and my hobbies are gaming, latin dancing, and researching interesting topics.",,827,180,3630,898,"Boom! Russia lost their seat on Commission on the Status of Women, U.N. children’s agency UNICEF, and the Commission on Crime Prevention and Criminal Justice. Let’s finally do what it takes for the security council seat! https://t.co/TMB5IqETWf",[]
