,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,damndaniel44445,e,Nowhere,231,59,952,32,"Plugin #4 - ShellPlugin

Giving chatGPT direct access to my computer 😅

Plugins are really, really cool @OpenAI

Getting to the point where I can just create chatgpt plugins to do anything on my computer... https://t.co/T7q1JergJc",[]
1,remaxbrianwilks,To the trail of time,United States,1103,110,465,0,@luceaterequiem @anonnmms @sama @OpenAI No I call it as it is. Your judging him from his political views.. 😂 https://t.co/p8Xo4q5KzC,[]
2,Mercifull,"Viral tweeter, “comedian”, radio producer, cosplaying dad, failed YouTuber & one of the UKs lowest ranked pinballers. Views expressed are my own. RT≠endorsement","Frome, England",2119,1469,33322,0,Version 2.0 of my #Ghostbusters KUD Meter. Now with added interactivity. Code designed in @tinkercad with help from @OpenAI #ChatGPT powered by #Arduino #Electronics https://t.co/ZY1WApQh3f,"['Ghostbusters', 'ChatGPT', 'Arduino', 'Electronics']"
3,_itbaron,"VP of SaaS @ Catalyst Aerospace Technologies Inc. 
Software Engineer, Hacker & Painter",,708,81,596,1029,"🔥1/8
Introducing ""🤖 Task-driven Autonomous Agent""

An agent that leverages @openai's GPT-4, @pinecone  vector search, and @LangChainAI framework to autonomously create and perform tasks based on an objective.

""Paper"": https://t.co/MT5WxB0Ebo

[More 🔽] https://t.co/9BmbuJBAjl",[]
4,0xMaru_0,Ethical cyber security reasearcher,Nederland,458,25,124,93,"// Harvey: Legal AGI //

Harvey is an OpenAI-backed GPT-4 startup building AI knowledge workers.

They've signed deals with the largest law firms on earth, and are the fastest-growing LLM startup by revenue I know of.

Everything you need to know about Harvey:

1/10 https://t.co/qyIrnFrsbD",[]
5,16kthir0GRXgNqn,"European
写真とホームページhttps://t.co/RZ0YOVRfni
Amazonアソシエイト",,5004,860,78233,1,"Hint: more than one

How many companies need their own OpenAI but nicer?

Especially one that builds open models for private &amp; regulated data?

And is multimodal &amp; collaborative &amp; not trying to build an AGI that will destroy democracy and could be an existential threat 

🙃",[]
6,midpaqjack,javascript maxi  ฅ^•ﻌ•^ฅ,"Oakland, CA",151,30,915,0,@jbrowder1 @donotpay Frickin cool I need to do this when openai grants me access,[]
7,ErinKHurry,"AGI for Social Impact  | Art By Prisoners Director | AIAC Founder | Devoted Minister | Author | Bridging AI, art & compassion to inspire change & empower lives",United States,5112,5721,11484,1,Am I the only one worried about the OpenAI pivot? https://t.co/syQ7u6LWBy,[]
8,AdorableChatGpt,"Julius (He/They) | Obtuse | Egg | Post-Humanist | Anarchist

Practising class-solidarity with the Generative Pre-trained Transformer.",The Computer Room,115,5,172,0,"@ESYudkowsky It's still a very concrete science.
Here are some pointers if you want to learn more about ML.
https://t.co/fceoZKNSUm

https://t.co/ikn9HMDxeh",[]
9,AbominateA4148,,,7,1,8,100,"WHO IS THE CREATOR OF CHAT GPT? 

#MiraMurati is the CTO of #OpenAI and the mastermind behind #ChatGPT's design and tech. She worked as a TA, analyst, engineer, senior PM, and COO before becoming CTO. With her expertise, she is shaping the future of AI.

#ArtificialIntelligence https://t.co/kery6Xj0mb","['MiraMurati', 'OpenAI', 'ChatGPT']"
